date,day-stars,total-stars
07-11-2015,0,0
08-11-2015,0,0
09-11-2015,1807,1807
10-11-2015,4507,6314
11-11-2015,1452,7766
12-11-2015,890,8656
13-11-2015,635,9291
14-11-2015,283,9574
15-11-2015,266,9840
16-11-2015,370,10210
17-11-2015,288,10498
18-11-2015,267,10765
19-11-2015,187,10952
20-11-2015,198,11150
21-11-2015,112,11262
22-11-2015,85,11347
23-11-2015,94,11441
24-11-2015,89,11530
25-11-2015,112,11642
26-11-2015,90,11732
27-11-2015,67,11799
28-11-2015,58,11857
29-11-2015,41,11898
30-11-2015,67,11965
01-12-2015,64,12029
02-12-2015,76,12105
03-12-2015,53,12158
04-12-2015,55,12213
05-12-2015,38,12251
06-12-2015,28,12279
07-12-2015,71,12350
08-12-2015,64,12414
09-12-2015,90,12504
10-12-2015,166,12670
11-12-2015,69,12739
12-12-2015,43,12782
13-12-2015,39,12821
14-12-2015,75,12896
15-12-2015,51,12947
16-12-2015,58,13005
17-12-2015,49,13054
18-12-2015,69,13123
19-12-2015,35,13158
20-12-2015,28,13186
21-12-2015,30,13216
22-12-2015,46,13262
23-12-2015,27,13289
24-12-2015,28,13317
25-12-2015,18,13335
26-12-2015,30,13365
27-12-2015,25,13390
28-12-2015,46,13436
29-12-2015,44,13480
30-12-2015,43,13523
31-12-2015,28,13551
01-01-2016,28,13579
02-01-2016,38,13617
03-01-2016,34,13651
04-01-2016,37,13688
05-01-2016,40,13728
06-01-2016,56,13784
07-01-2016,60,13844
08-01-2016,44,13888
09-01-2016,27,13915
10-01-2016,25,13940
11-01-2016,45,13985
12-01-2016,40,14025
13-01-2016,46,14071
14-01-2016,36,14107
15-01-2016,45,14152
16-01-2016,35,14187
17-01-2016,24,14211
18-01-2016,32,14243
19-01-2016,32,14275
20-01-2016,48,14323
21-01-2016,54,14377
22-01-2016,121,14498
23-01-2016,126,14624
24-01-2016,94,14718
25-01-2016,173,14891
26-01-2016,147,15038
27-01-2016,90,15128
28-01-2016,76,15204
29-01-2016,67,15271
30-01-2016,37,15308
31-01-2016,47,15355
01-02-2016,43,15398
02-02-2016,35,15433
03-02-2016,41,15474
04-02-2016,58,15532
05-02-2016,52,15584
06-02-2016,24,15608
07-02-2016,28,15636
08-02-2016,30,15666
09-02-2016,37,15703
10-02-2016,36,15739
11-02-2016,36,15775
12-02-2016,32,15807
13-02-2016,24,15831
14-02-2016,17,15848
15-02-2016,38,15886
16-02-2016,46,15932
17-02-2016,110,16042
