,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Trimestre (Código),Trimestre,Variável (Código),Variável,Sexo (Código),Sexo
1,1,Brasil,1572,Mil pessoas,153601,1,Brasil,201201,1º trimestre 2012,1641,Pessoas de 14 anos ou mais de idade,6794,Total
2,1,Brasil,2,%,0.0,1,Brasil,201201,1º trimestre 2012,4087,Coeficiente de variação - Pessoas de 14 anos ou mais de idade,6794,Total
3,1,Brasil,2,%,100.0,1,Brasil,201201,1º trimestre 2012,4104,Distribuição percentual das pessoas de 14 anos ou mais de idade,6794,Total
4,1,Brasil,2,%,-,1,Brasil,201201,1º trimestre 2012,4105,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade,6794,Total
5,1,Brasil,1572,Mil pessoas,95664,1,Brasil,201201,1º trimestre 2012,4088,"Pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
6,1,Brasil,2,%,0.2,1,Brasil,201201,1º trimestre 2012,4089,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
7,1,Brasil,2,%,100.0,1,Brasil,201201,1º trimestre 2012,4106,"Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
8,1,Brasil,2,%,-,1,Brasil,201201,1º trimestre 2012,4107,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",6794,Total
9,1,Brasil,1572,Mil pessoas,88011,1,Brasil,201201,1º trimestre 2012,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
10,1,Brasil,2,%,0.2,1,Brasil,201201,1º trimestre 2012,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
11,1,Brasil,2,%,100.0,1,Brasil,201201,1º trimestre 2012,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
12,1,Brasil,2,%,-,1,Brasil,201201,1º trimestre 2012,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
13,1,Brasil,1572,Mil pessoas,7653,1,Brasil,201201,1º trimestre 2012,4092,"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
14,1,Brasil,2,%,1.0,1,Brasil,201201,1º trimestre 2012,4093,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
15,1,Brasil,2,%,100.0,1,Brasil,201201,1º trimestre 2012,4110,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
16,1,Brasil,2,%,-,1,Brasil,201201,1º trimestre 2012,4111,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",6794,Total
17,1,Brasil,1572,Mil pessoas,57937,1,Brasil,201201,1º trimestre 2012,4094,"Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
18,1,Brasil,2,%,0.3,1,Brasil,201201,1º trimestre 2012,4095,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
19,1,Brasil,2,%,100.0,1,Brasil,201201,1º trimestre 2012,4112,"Distribuição percentual das pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
20,1,Brasil,2,%,-,1,Brasil,201201,1º trimestre 2012,4113,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência",6794,Total
21,1,Brasil,2,%,62.3,1,Brasil,201201,1º trimestre 2012,4096,"Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
22,1,Brasil,2,%,0.2,1,Brasil,201201,1º trimestre 2012,4100,"Coeficiente de variação - Taxa de participação na força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
23,1,Brasil,2,%,57.3,1,Brasil,201201,1º trimestre 2012,4097,"Nível da ocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
24,1,Brasil,2,%,0.2,1,Brasil,201201,1º trimestre 2012,4101,"Coeficiente de variação - Nível da ocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
25,1,Brasil,2,%,5.0,1,Brasil,201201,1º trimestre 2012,4098,"Nível da desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
26,1,Brasil,2,%,1.0,1,Brasil,201201,1º trimestre 2012,4102,"Coeficiente de variação - Nível de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
27,1,Brasil,2,%,8.0,1,Brasil,201201,1º trimestre 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
28,1,Brasil,2,%,0.9,1,Brasil,201201,1º trimestre 2012,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",6794,Total
29,1,Brasil,,,...,1,Brasil,201201,1º trimestre 2012,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
30,1,Brasil,,,...,1,Brasil,201201,1º trimestre 2012,12467,Coeficiente de variação - Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,6794,Total
31,1,Brasil,,,...,1,Brasil,201201,1º trimestre 2012,4723,"Pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência",6794,Total
